node,formal,lean,latex,tptp,smtlib,py_lambda,py_cayley_table,ssa,rpn,polish,slots,json_ast,ascii_tree,graphviz,natural_language,word_problem,text,text2,confusable_vars
1891,x = (y ◇ (x ◇ x)) ◇ (z ◇ y),"example (G : Type u) [Magma G] : Prop := ∀ x y z : G, x = (y ◇ (x ◇ x)) ◇ (z ◇ y)",x = (y \diamond (x \diamond x)) \diamond (z \diamond y),"fof(law, axiom, ![X,Y,Z] : X = op(op(Y,op(X,X)),op(Z,Y))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M))
  (= x (op (op y (op x x)) (op z y)))))","lambda op, x, y, z: x == op(op(y, op(x, x)), op(z, y))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[x][x]]][table[z][y]] for x in range(n) for y in range(n) for z in range(n))
","t1 = x ◇ x
t2 = y ◇ t1
t3 = z ◇ y
t4 = t2 ◇ t3
assert x = t4",x y x x ◇ ◇ z y ◇ ◇ =,= x ◇ ◇ y ◇ x x ◇ z y,"[1, [[2, [1, 1]], [3, 2]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""x"", ""x""]}]}, {""◇"": [""z"", ""y""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── x
    │       └── x
    └── ◇
        ├── z
        └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""x""];
  n8 [label=""x""];
  n9 [label=""◇""];
  n10 [label=""z""];
  n11 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}","The left side is a single instance of the variable x. The right side is formed by combining two expressions. The first expression is the variable y combined with the result of combining the variable x with itself. The second expression is the variable z combined with the variable y. The entire right side is the combination of these two expressions. The variables x, y, and z each appear in specific positions: x occurs twice in the first expression, y occurs twice in the first and second expressions, and z occurs once in the second expression. The operation is applied in a nested manner within each expression and then combined.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y and z, x gives the same part as welding the part made by welding y to the part made by welding x to x to the part made by welding z to y.",x equals open bracket y diamond open bracket x diamond x close bracket close bracket diamond open bracket z diamond y close bracket,x equals the diamond of the diamond of y and the diamond of x and x and the diamond of z and y,l = (I ◇ (l ◇ l)) ◇ (ll ◇ I)
1892,x = (y ◇ (x ◇ x)) ◇ (z ◇ z),"example (G : Type u) [Magma G] : Prop := ∀ x y z : G, x = (y ◇ (x ◇ x)) ◇ (z ◇ z)",x = (y \diamond (x \diamond x)) \diamond (z \diamond z),"fof(law, axiom, ![X,Y,Z] : X = op(op(Y,op(X,X)),op(Z,Z))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M))
  (= x (op (op y (op x x)) (op z z)))))","lambda op, x, y, z: x == op(op(y, op(x, x)), op(z, z))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[x][x]]][table[z][z]] for x in range(n) for y in range(n) for z in range(n))
","t1 = x ◇ x
t2 = y ◇ t1
t3 = z ◇ z
t4 = t2 ◇ t3
assert x = t4",x y x x ◇ ◇ z z ◇ ◇ =,= x ◇ ◇ y ◇ x x ◇ z z,"[1, [[2, [1, 1]], [3, 3]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""x"", ""x""]}]}, {""◇"": [""z"", ""z""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── x
    │       └── x
    └── ◇
        ├── z
        └── z","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""x""];
  n8 [label=""x""];
  n9 [label=""◇""];
  n10 [label=""z""];
  n11 [label=""z""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}",The variable x is equal to the result of applying the binary operation to two expressions. The first expression is the result of applying the binary operation to the variable y and the result of applying the binary operation to the variable x with itself. The second expression is the result of applying the binary operation to the variable z with itself. The entire expression is the result of applying the binary operation to these two expressions.,"A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y and z, x gives the same part as welding the part made by welding y to the part made by welding x to x to the part made by welding z to z.",x equals open bracket y diamond open bracket x diamond x close bracket close bracket diamond open bracket z diamond z close bracket,x equals the diamond of the diamond of y and the diamond of x and x and the diamond of z and z,l = (I ◇ (l ◇ l)) ◇ (ll ◇ ll)
1895,x = (y ◇ (x ◇ y)) ◇ (x ◇ y),"example (G : Type u) [Magma G] : Prop := ∀ x y : G, x = (y ◇ (x ◇ y)) ◇ (x ◇ y)",x = (y \diamond (x \diamond y)) \diamond (x \diamond y),"fof(law, axiom, ![X,Y] : X = op(op(Y,op(X,Y)),op(X,Y))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M))
  (= x (op (op y (op x y)) (op x y)))))","lambda op, x, y: x == op(op(y, op(x, y)), op(x, y))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[x][y]]][table[x][y]] for x in range(n) for y in range(n))
","t1 = x ◇ y
t2 = y ◇ t1
t3 = x ◇ y
t4 = t2 ◇ t3
assert x = t4",x y x y ◇ ◇ x y ◇ ◇ =,= x ◇ ◇ y ◇ x y ◇ x y,"[1, [[2, [1, 2]], [1, 2]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""x"", ""y""]}]}, {""◇"": [""x"", ""y""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── x
    │       └── y
    └── ◇
        ├── x
        └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""x""];
  n8 [label=""y""];
  n9 [label=""◇""];
  n10 [label=""x""];
  n11 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}",The left side of the identity is a single variable x. The right side is formed by applying the operation to two expressions. The first expression is the operation applied to the variable y and the operation applied to the variables x and y. The second expression is the operation applied to the variables x and y. The entire right side is the operation applied to these two expressions. The variables x and y appear in the right side with x occurring twice and y occurring three times.,"A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x and y, x gives the same part as welding the part made by welding y to the part made by welding x to y to the part made by welding x to y.",x equals open bracket y diamond open bracket x diamond y close bracket close bracket diamond open bracket x diamond y close bracket,x equals the diamond of the diamond of y and the diamond of x and y and the diamond of x and y,l = (I ◇ (l ◇ I)) ◇ (l ◇ I)
1896,x = (y ◇ (x ◇ y)) ◇ (x ◇ z),"example (G : Type u) [Magma G] : Prop := ∀ x y z : G, x = (y ◇ (x ◇ y)) ◇ (x ◇ z)",x = (y \diamond (x \diamond y)) \diamond (x \diamond z),"fof(law, axiom, ![X,Y,Z] : X = op(op(Y,op(X,Y)),op(X,Z))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M))
  (= x (op (op y (op x y)) (op x z)))))","lambda op, x, y, z: x == op(op(y, op(x, y)), op(x, z))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[x][y]]][table[x][z]] for x in range(n) for y in range(n) for z in range(n))
","t1 = x ◇ y
t2 = y ◇ t1
t3 = x ◇ z
t4 = t2 ◇ t3
assert x = t4",x y x y ◇ ◇ x z ◇ ◇ =,= x ◇ ◇ y ◇ x y ◇ x z,"[1, [[2, [1, 2]], [1, 3]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""x"", ""y""]}]}, {""◇"": [""x"", ""z""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── x
    │       └── y
    └── ◇
        ├── x
        └── z","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""x""];
  n8 [label=""y""];
  n9 [label=""◇""];
  n10 [label=""x""];
  n11 [label=""z""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}","The identity states that a single variable equals the operation applied to two expressions. The first expression is the operation applied to a second variable and the operation applied to the first variable and the second variable. The second expression is the operation applied to the first variable and a third variable. The result of these two expressions is combined using the operation. The first variable appears three times in total, with two instances in the right-hand side and one on the left. The second variable appears twice on the right-hand side, and the third variable appears once on the right-hand side. The operation is structured such that the first expression is nested within the second, and the two results are combined.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y and z, x gives the same part as welding the part made by welding y to the part made by welding x to y to the part made by welding x to z.",x equals open bracket y diamond open bracket x diamond y close bracket close bracket diamond open bracket x diamond z close bracket,x equals the diamond of the diamond of y and the diamond of x and y and the diamond of x and z,l = (I ◇ (l ◇ I)) ◇ (l ◇ ll)
1903,x = (y ◇ (x ◇ y)) ◇ (z ◇ w),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = (y ◇ (x ◇ y)) ◇ (z ◇ w)",x = (y \diamond (x \diamond y)) \diamond (z \diamond w),"fof(law, axiom, ![X,Y,Z,W] : X = op(op(Y,op(X,Y)),op(Z,W))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op (op y (op x y)) (op z w)))))","lambda op, x, y, z, w: x == op(op(y, op(x, y)), op(z, w))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[x][y]]][table[z][w]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = x ◇ y
t2 = y ◇ t1
t3 = z ◇ w
t4 = t2 ◇ t3
assert x = t4",x y x y ◇ ◇ z w ◇ ◇ =,= x ◇ ◇ y ◇ x y ◇ z w,"[1, [[2, [1, 2]], [3, 4]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""x"", ""y""]}]}, {""◇"": [""z"", ""w""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── x
    │       └── y
    └── ◇
        ├── z
        └── w","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""x""];
  n8 [label=""y""];
  n9 [label=""◇""];
  n10 [label=""z""];
  n11 [label=""w""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}","The identity states that a single variable equals the operation applied to two separate expressions. The first expression is the operation between a second variable and the operation between a first variable and the second variable. The second expression is the operation between a third variable and a fourth variable. The first variable appears once, the second variable appears twice, and the third and fourth variables each appear once. The operation is applied in a nested manner to the first and second variables within the first expression, and the operation is applied directly to the third and fourth variables in the second expression. The results of these two expressions are then combined using the operation.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding the part made by welding y to the part made by welding x to y to the part made by welding z to w.",x equals open bracket y diamond open bracket x diamond y close bracket close bracket diamond open bracket z diamond w close bracket,x equals the diamond of the diamond of y and the diamond of x and y and the diamond of z and w,l = (I ◇ (l ◇ I)) ◇ (ll ◇ lI)
1907,x = (y ◇ (x ◇ z)) ◇ (x ◇ w),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = (y ◇ (x ◇ z)) ◇ (x ◇ w)",x = (y \diamond (x \diamond z)) \diamond (x \diamond w),"fof(law, axiom, ![X,Y,Z,W] : X = op(op(Y,op(X,Z)),op(X,W))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op (op y (op x z)) (op x w)))))","lambda op, x, y, z, w: x == op(op(y, op(x, z)), op(x, w))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[x][z]]][table[x][w]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = x ◇ z
t2 = y ◇ t1
t3 = x ◇ w
t4 = t2 ◇ t3
assert x = t4",x y x z ◇ ◇ x w ◇ ◇ =,= x ◇ ◇ y ◇ x z ◇ x w,"[1, [[2, [1, 3]], [1, 4]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""x"", ""z""]}]}, {""◇"": [""x"", ""w""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── x
    │       └── z
    └── ◇
        ├── x
        └── w","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""x""];
  n8 [label=""z""];
  n9 [label=""◇""];
  n10 [label=""x""];
  n11 [label=""w""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}","The identity involves a single binary operation applied to four variables. On the left side, a single instance of the variable x is present. On the right side, the operation is applied to two separate expressions combined together. The first expression is the operation applied to the variable y and another instance of the operation applied to the variable x and the variable z. The second expression is the operation applied to the variable x and the variable w. The variable x appears three times in total, once in each of the two inner operations and once in the outer operation, while the variables y, z, and w each appear once.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding the part made by welding y to the part made by welding x to z to the part made by welding x to w.",x equals open bracket y diamond open bracket x diamond z close bracket close bracket diamond open bracket x diamond w close bracket,x equals the diamond of the diamond of y and the diamond of x and z and the diamond of x and w,l = (I ◇ (l ◇ ll)) ◇ (l ◇ lI)
1918,x = (y ◇ (x ◇ z)) ◇ (w ◇ z),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = (y ◇ (x ◇ z)) ◇ (w ◇ z)",x = (y \diamond (x \diamond z)) \diamond (w \diamond z),"fof(law, axiom, ![X,Y,Z,W] : X = op(op(Y,op(X,Z)),op(W,Z))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op (op y (op x z)) (op w z)))))","lambda op, x, y, z, w: x == op(op(y, op(x, z)), op(w, z))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[x][z]]][table[w][z]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = x ◇ z
t2 = y ◇ t1
t3 = w ◇ z
t4 = t2 ◇ t3
assert x = t4",x y x z ◇ ◇ w z ◇ ◇ =,= x ◇ ◇ y ◇ x z ◇ w z,"[1, [[2, [1, 3]], [4, 3]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""x"", ""z""]}]}, {""◇"": [""w"", ""z""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── x
    │       └── z
    └── ◇
        ├── w
        └── z","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""x""];
  n8 [label=""z""];
  n9 [label=""◇""];
  n10 [label=""w""];
  n11 [label=""z""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}","The equation states that a single variable equals the result of combining one variable with the result of combining another variable and a third variable, and then combining that result with the result of combining a fourth variable and the third variable. The variables involved are four distinct ones, with one variable appearing once on the left side and the same variable appearing once in the first combination on the right side, another variable appearing once in the first combination, a third variable appearing twice in the right side combinations, and a fourth variable appearing once in the second combination. The operation is applied in a nested structure where the first combination involves the variable that appears on the left and the third variable, and the second combination involves the fourth variable and the third variable, with the results of these two combinations then being combined.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding the part made by welding y to the part made by welding x to z to the part made by welding w to z.",x equals open bracket y diamond open bracket x diamond z close bracket close bracket diamond open bracket w diamond z close bracket,x equals the diamond of the diamond of y and the diamond of x and z and the diamond of w and z,l = (I ◇ (l ◇ ll)) ◇ (lI ◇ ll)
1919,x = (y ◇ (x ◇ z)) ◇ (w ◇ w),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = (y ◇ (x ◇ z)) ◇ (w ◇ w)",x = (y \diamond (x \diamond z)) \diamond (w \diamond w),"fof(law, axiom, ![X,Y,Z,W] : X = op(op(Y,op(X,Z)),op(W,W))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op (op y (op x z)) (op w w)))))","lambda op, x, y, z, w: x == op(op(y, op(x, z)), op(w, w))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[x][z]]][table[w][w]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = x ◇ z
t2 = y ◇ t1
t3 = w ◇ w
t4 = t2 ◇ t3
assert x = t4",x y x z ◇ ◇ w w ◇ ◇ =,= x ◇ ◇ y ◇ x z ◇ w w,"[1, [[2, [1, 3]], [4, 4]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""x"", ""z""]}]}, {""◇"": [""w"", ""w""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── x
    │       └── z
    └── ◇
        ├── w
        └── w","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""x""];
  n8 [label=""z""];
  n9 [label=""◇""];
  n10 [label=""w""];
  n11 [label=""w""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}","The left side of the equation is a single variable x. The right side consists of two parts combined by the operation. The first part is a variable y combined with another combination of a variable x and a variable z. The second part is a variable w combined with itself. The entire expression is the result of combining the first part with the second part using the operation. The variables involved are x, y, z, and w, with x appearing once, y once, z once, and w twice. The structure ensures that the operation is applied in a nested manner, with the first combination involving x and z, then combined with y, and separately the repetition of w combined with itself, before the final combination of these two results.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding the part made by welding y to the part made by welding x to z to the part made by welding w to w.",x equals open bracket y diamond open bracket x diamond z close bracket close bracket diamond open bracket w diamond w close bracket,x equals the diamond of the diamond of y and the diamond of x and z and the diamond of w and w,l = (I ◇ (l ◇ ll)) ◇ (lI ◇ lI)
1921,x = (y ◇ (y ◇ x)) ◇ (x ◇ x),"example (G : Type u) [Magma G] : Prop := ∀ x y : G, x = (y ◇ (y ◇ x)) ◇ (x ◇ x)",x = (y \diamond (y \diamond x)) \diamond (x \diamond x),"fof(law, axiom, ![X,Y] : X = op(op(Y,op(Y,X)),op(X,X))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M))
  (= x (op (op y (op y x)) (op x x)))))","lambda op, x, y: x == op(op(y, op(y, x)), op(x, x))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[y][x]]][table[x][x]] for x in range(n) for y in range(n))
","t1 = y ◇ x
t2 = y ◇ t1
t3 = x ◇ x
t4 = t2 ◇ t3
assert x = t4",x y y x ◇ ◇ x x ◇ ◇ =,= x ◇ ◇ y ◇ y x ◇ x x,"[1, [[2, [2, 1]], [1, 1]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""y"", ""x""]}]}, {""◇"": [""x"", ""x""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── y
    │       └── x
    └── ◇
        ├── x
        └── x","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""y""];
  n8 [label=""x""];
  n9 [label=""◇""];
  n10 [label=""x""];
  n11 [label=""x""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}","The identity involves a single binary operation applied to two variables, x and y. The left side of the equation is the variable x. The right side consists of the operation applied to two expressions. The first expression is the operation applied to the variable y and the result of the operation applied to the variable y and the variable x. The second expression is the operation applied to the variable x and the variable x. The entire right side is the operation applied to these two expressions. The variable x appears three times in total, with the variable y appearing twice. The structure ensures that the operation is nested and grouped in a specific way to produce the left side.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x and y, x gives the same part as welding the part made by welding y to the part made by welding y to x to the part made by welding x to x.",x equals open bracket y diamond open bracket y diamond x close bracket close bracket diamond open bracket x diamond x close bracket,x equals the diamond of the diamond of y and the diamond of y and x and the diamond of x and x,l = (I ◇ (I ◇ l)) ◇ (l ◇ l)
1926,x = (y ◇ (y ◇ x)) ◇ (y ◇ z),"example (G : Type u) [Magma G] : Prop := ∀ x y z : G, x = (y ◇ (y ◇ x)) ◇ (y ◇ z)",x = (y \diamond (y \diamond x)) \diamond (y \diamond z),"fof(law, axiom, ![X,Y,Z] : X = op(op(Y,op(Y,X)),op(Y,Z))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M))
  (= x (op (op y (op y x)) (op y z)))))","lambda op, x, y, z: x == op(op(y, op(y, x)), op(y, z))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[y][x]]][table[y][z]] for x in range(n) for y in range(n) for z in range(n))
","t1 = y ◇ x
t2 = y ◇ t1
t3 = y ◇ z
t4 = t2 ◇ t3
assert x = t4",x y y x ◇ ◇ y z ◇ ◇ =,= x ◇ ◇ y ◇ y x ◇ y z,"[1, [[2, [2, 1]], [2, 3]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""y"", ""x""]}]}, {""◇"": [""y"", ""z""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── y
    │       └── x
    └── ◇
        ├── y
        └── z","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""y""];
  n8 [label=""x""];
  n9 [label=""◇""];
  n10 [label=""y""];
  n11 [label=""z""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}","The expression equates a single variable x to a combination of three instances of another variable y and one instance of a third variable z, along with the original variable x. The combination involves two separate operations: the first operation takes the second variable y and another operation that combines the second variable y with the original variable x, while the second operation combines the second variable y with the third variable z. These two results are then combined using the same operation. The original variable x appears once, the second variable y appears three times, and the third variable z appears once. The structure features nested operations where the second variable y is used twice in sequence with the original variable x, followed by a separate operation involving the second variable y and the third variable z, with all elements connected through the same operation.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y and z, x gives the same part as welding the part made by welding y to the part made by welding y to x to the part made by welding y to z.",x equals open bracket y diamond open bracket y diamond x close bracket close bracket diamond open bracket y diamond z close bracket,x equals the diamond of the diamond of y and the diamond of y and x and the diamond of y and z,l = (I ◇ (I ◇ l)) ◇ (I ◇ ll)
1930,x = (y ◇ (y ◇ x)) ◇ (z ◇ w),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = (y ◇ (y ◇ x)) ◇ (z ◇ w)",x = (y \diamond (y \diamond x)) \diamond (z \diamond w),"fof(law, axiom, ![X,Y,Z,W] : X = op(op(Y,op(Y,X)),op(Z,W))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op (op y (op y x)) (op z w)))))","lambda op, x, y, z, w: x == op(op(y, op(y, x)), op(z, w))","def law(table):
    n = len(table)
    return all(x == table[table[y][table[y][x]]][table[z][w]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = y ◇ x
t2 = y ◇ t1
t3 = z ◇ w
t4 = t2 ◇ t3
assert x = t4",x y y x ◇ ◇ z w ◇ ◇ =,= x ◇ ◇ y ◇ y x ◇ z w,"[1, [[2, [2, 1]], [3, 4]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", {""◇"": [""y"", ""x""]}]}, {""◇"": [""z"", ""w""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── ◇
    │       ├── y
    │       └── x
    └── ◇
        ├── z
        └── w","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""◇""];
  n7 [label=""y""];
  n8 [label=""x""];
  n9 [label=""◇""];
  n10 [label=""z""];
  n11 [label=""w""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n9;
  n4 -> n5;
  n4 -> n6;
  n6 -> n7;
  n6 -> n8;
  n9 -> n10;
  n9 -> n11;
}","The left side of the equation is a single variable x. The right side is formed by applying the operation to two distinct expressions. The first expression is the operation applied to a variable y and another expression, which itself is the operation applied to the same variable y and the variable x. The second expression is the operation applied to two distinct variables z and w. The entire right side is the operation applied to the results of these two expressions. The variables involved are x, y, z, and w, with x appearing once, y appearing twice, and z and w each appearing once.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding the part made by welding y to the part made by welding y to x to the part made by welding z to w.",x equals open bracket y diamond open bracket y diamond x close bracket close bracket diamond open bracket z diamond w close bracket,x equals the diamond of the diamond of y and the diamond of y and x and the diamond of z and w,l = (I ◇ (I ◇ l)) ◇ (ll ◇ lI)
