pair_id,node_a,node_b,relation,forward_a_implies_b,backward_b_implies_a,formal_a,formal_b,split_42,split_7,split_123,split_99,split_256
1476,621,786,incomparable,False,False,x = x ◇ (x ◇ ((y ◇ x) ◇ z)),x = y ◇ (z ◇ ((z ◇ w) ◇ x)),excluded,train,excluded,train,train
1477,1345,3700,weaker,True,False,x = y ◇ (((y ◇ z) ◇ w) ◇ y),x ◇ x = (y ◇ z) ◇ (y ◇ z),excluded,excluded,train,excluded,train
1478,3931,2055,incomparable,False,False,x ◇ y = (x ◇ (y ◇ z)) ◇ y,x = ((x ◇ y) ◇ x) ◇ (y ◇ z),train,excluded,excluded,excluded,train
1479,3723,3870,incomparable,False,False,x ◇ y = (x ◇ y) ◇ (x ◇ z),x ◇ x = (x ◇ (y ◇ y)) ◇ x,train,train,train,train,excluded
1480,3405,3936,incomparable,False,False,x ◇ y = z ◇ (y ◇ (z ◇ y)),x ◇ y = (x ◇ (z ◇ x)) ◇ z,excluded,test,excluded,test,excluded
1481,871,2860,weaker,True,False,x = y ◇ ((x ◇ x) ◇ (x ◇ z)),x = ((x ◇ (x ◇ y)) ◇ z) ◇ z,excluded,train,excluded,excluded,train
1482,3917,473,incomparable,False,False,x ◇ y = (x ◇ (x ◇ y)) ◇ x,x = y ◇ (x ◇ (y ◇ (x ◇ x))),excluded,excluded,train,train,test
1483,2349,4237,incomparable,False,False,x = (y ◇ (y ◇ (z ◇ x))) ◇ z,x ◇ y = ((z ◇ z) ◇ w) ◇ x,excluded,excluded,train,train,train
1484,3372,2092,stronger,False,True,x ◇ y = y ◇ (z ◇ (z ◇ z)),x = ((y ◇ x) ◇ x) ◇ (y ◇ z),train,test,train,train,excluded
1485,4200,2149,stronger,False,True,x ◇ y = ((z ◇ x) ◇ z) ◇ y,x = ((y ◇ y) ◇ z) ◇ (y ◇ y),train,train,excluded,excluded,train
1486,2719,426,weaker,True,False,x = ((y ◇ x) ◇ (z ◇ x)) ◇ w,x = x ◇ (y ◇ (x ◇ (x ◇ x))),train,excluded,test,train,train
1487,1611,2593,equivalent,True,True,x = (y ◇ z) ◇ (w ◇ (y ◇ w)),x = (y ◇ ((z ◇ y) ◇ z)) ◇ y,train,train,train,train,train
1488,1779,2949,weaker,True,False,x = (y ◇ z) ◇ ((y ◇ y) ◇ w),x = ((y ◇ (y ◇ y)) ◇ y) ◇ x,train,excluded,train,train,excluded
1489,1806,2115,weaker,True,False,x = (y ◇ z) ◇ ((w ◇ x) ◇ x),x = ((y ◇ x) ◇ z) ◇ (z ◇ x),excluded,excluded,train,train,train
1490,498,260,weaker,True,False,x = y ◇ (x ◇ (z ◇ (w ◇ w))),x = ((x ◇ y) ◇ x) ◇ x,train,excluded,train,train,train
1491,406,4220,equivalent,True,True,x ◇ y = (z ◇ w) ◇ x,x ◇ y = ((z ◇ y) ◇ w) ◇ x,excluded,train,excluded,train,train
1492,1806,10,weaker,True,False,x = (y ◇ z) ◇ ((w ◇ x) ◇ x),x = x ◇ (y ◇ x),test,train,train,excluded,excluded
1493,226,3582,weaker,True,False,x = (y ◇ (x ◇ z)) ◇ z,x ◇ y = z ◇ ((x ◇ x) ◇ x),train,train,test,excluded,excluded
1494,4660,632,incomparable,False,False,(x ◇ y) ◇ y = (y ◇ z) ◇ x,x = x ◇ (y ◇ ((x ◇ y) ◇ x)),train,train,train,train,excluded
1495,4097,1978,stronger,False,True,x ◇ x = ((y ◇ y) ◇ z) ◇ y,x = (y ◇ (z ◇ y)) ◇ (x ◇ w),train,excluded,excluded,train,excluded
1496,2636,4039,weaker,True,False,x = (y ◇ ((z ◇ w) ◇ w)) ◇ w,x ◇ y = (z ◇ (w ◇ x)) ◇ x,excluded,excluded,excluded,train,train
1497,2558,327,incomparable,False,False,x = (y ◇ ((y ◇ z) ◇ z)) ◇ x,x ◇ y = x ◇ (y ◇ z),train,excluded,train,excluded,excluded
1498,2479,623,incomparable,False,False,x = (x ◇ ((y ◇ z) ◇ x)) ◇ w,x = x ◇ (x ◇ ((y ◇ y) ◇ y)),excluded,train,excluded,excluded,train
1499,3062,3692,incomparable,False,False,x = (((x ◇ x) ◇ y) ◇ z) ◇ y,x ◇ x = (y ◇ y) ◇ (z ◇ z),train,train,excluded,excluded,test
1500,4170,2857,incomparable,False,False,x ◇ y = ((y ◇ y) ◇ z) ◇ x,x = ((x ◇ (x ◇ y)) ◇ y) ◇ z,test,train,train,excluded,train
1501,1303,1791,stronger,False,True,x = y ◇ (((x ◇ z) ◇ z) ◇ x),x = (y ◇ z) ◇ ((z ◇ x) ◇ z),excluded,excluded,test,train,excluded
1502,1607,351,weaker,True,False,x = (y ◇ z) ◇ (w ◇ (x ◇ u)),x ◇ y = z ◇ (z ◇ y),train,train,train,train,excluded
1503,4509,2228,stronger,False,True,x ◇ (y ◇ z) = (x ◇ x) ◇ w,x = ((y ◇ z) ◇ w) ◇ (w ◇ y),train,train,train,train,train
1504,4554,4285,incomparable,False,False,x ◇ (y ◇ z) = (z ◇ w) ◇ z,x ◇ (x ◇ y) = x ◇ (y ◇ z),train,train,train,excluded,train
1505,547,308,weaker,True,False,x = y ◇ (z ◇ (x ◇ (z ◇ z))),x ◇ x = x ◇ (x ◇ y),test,excluded,excluded,test,excluded
1506,2515,4363,weaker,True,False,x = (y ◇ ((x ◇ z) ◇ x)) ◇ z,x ◇ (y ◇ z) = y ◇ (x ◇ w),train,train,excluded,train,train
1507,3183,3317,weaker,True,False,x = (((y ◇ z) ◇ x) ◇ y) ◇ w,x ◇ y = x ◇ (y ◇ (x ◇ z)),train,train,train,excluded,excluded
1508,1094,4648,weaker,True,False,x = y ◇ ((x ◇ (z ◇ x)) ◇ z),(x ◇ y) ◇ x = (z ◇ y) ◇ w,excluded,excluded,test,train,excluded
1509,383,3071,incomparable,False,False,x ◇ y = (x ◇ z) ◇ w,x = (((x ◇ y) ◇ x) ◇ z) ◇ x,train,train,train,excluded,excluded
1510,2822,2113,weaker,True,False,x = ((y ◇ z) ◇ (w ◇ x)) ◇ y,x = ((y ◇ x) ◇ z) ◇ (y ◇ z),train,excluded,excluded,excluded,train
1511,1849,3796,incomparable,False,False,x = (x ◇ (y ◇ x)) ◇ (x ◇ z),x ◇ y = (z ◇ x) ◇ (z ◇ w),excluded,train,test,train,excluded
1512,3149,3839,incomparable,False,False,x = (((y ◇ y) ◇ y) ◇ x) ◇ x,x ◇ y = (z ◇ w) ◇ (x ◇ w),train,train,train,excluded,train
1513,178,2312,equivalent,True,True,x = (y ◇ y) ◇ (x ◇ z),x = (y ◇ (x ◇ (z ◇ x))) ◇ z,train,excluded,excluded,excluded,train
1514,1940,347,weaker,True,False,x = (y ◇ (y ◇ y)) ◇ (z ◇ w),x ◇ y = z ◇ (y ◇ y),train,excluded,train,train,train
1515,666,4258,weaker,True,False,x = y ◇ (x ◇ ((x ◇ x) ◇ x)),x ◇ y = ((z ◇ w) ◇ w) ◇ y,train,train,train,excluded,train
1516,2705,2450,weaker,True,False,x = ((y ◇ x) ◇ (x ◇ z)) ◇ w,x = (x ◇ ((x ◇ y) ◇ y)) ◇ y,excluded,excluded,train,train,excluded
1517,4378,3575,stronger,False,True,x ◇ (y ◇ z) = w ◇ (u ◇ z),x ◇ y = y ◇ ((z ◇ z) ◇ z),excluded,train,excluded,excluded,test
1518,3483,2854,incomparable,False,False,x ◇ x = y ◇ ((y ◇ x) ◇ z),x = ((x ◇ (x ◇ y)) ◇ x) ◇ z,excluded,excluded,train,train,train
1519,904,4324,weaker,True,False,x = y ◇ ((x ◇ z) ◇ (w ◇ w)),x ◇ (y ◇ x) = y ◇ (z ◇ y),train,train,train,excluded,train
1520,1271,3867,incomparable,False,False,x = x ◇ (((y ◇ z) ◇ w) ◇ y),x ◇ x = (x ◇ (y ◇ x)) ◇ x,excluded,train,excluded,excluded,train
1521,1491,1847,incomparable,False,False,x = (y ◇ x) ◇ (y ◇ (y ◇ x)),x = (x ◇ (y ◇ x)) ◇ (x ◇ x),train,train,train,train,excluded
1522,2658,3988,incomparable,False,False,x = ((x ◇ x) ◇ (y ◇ z)) ◇ w,x ◇ y = (z ◇ (x ◇ x)) ◇ x,train,excluded,train,excluded,train
1523,1805,2981,weaker,True,False,x = (y ◇ z) ◇ ((z ◇ w) ◇ u),x = ((y ◇ (z ◇ x)) ◇ z) ◇ x,train,train,train,excluded,excluded
1524,2626,678,equivalent,True,True,x = (y ◇ ((z ◇ w) ◇ y)) ◇ w,x = y ◇ (x ◇ ((y ◇ x) ◇ z)),excluded,excluded,train,excluded,train
1525,3554,4262,equivalent,True,True,x ◇ y = y ◇ ((x ◇ z) ◇ w),x ◇ y = ((z ◇ w) ◇ u) ◇ x,train,excluded,excluded,excluded,excluded
1526,1668,1503,stronger,False,True,x = (x ◇ y) ◇ ((z ◇ y) ◇ x),x = (y ◇ x) ◇ (z ◇ (y ◇ y)),train,excluded,train,train,train
1527,3359,888,stronger,False,True,x ◇ y = y ◇ (y ◇ (z ◇ y)),x = y ◇ ((x ◇ y) ◇ (z ◇ w)),test,excluded,excluded,train,train
1528,49,2230,stronger,False,True,x = x ◇ (x ◇ (y ◇ x)),x = ((y ◇ z) ◇ w) ◇ (w ◇ w),excluded,excluded,train,train,excluded
1529,2636,4526,weaker,True,False,x = (y ◇ ((z ◇ w) ◇ w)) ◇ w,x ◇ (y ◇ z) = (y ◇ x) ◇ w,train,train,excluded,excluded,excluded
1530,1040,3099,weaker,True,False,x = x ◇ ((y ◇ (x ◇ y)) ◇ z),x = (((x ◇ y) ◇ z) ◇ w) ◇ z,train,test,train,excluded,excluded
1531,4351,2322,incomparable,False,False,x ◇ (y ◇ y) = z ◇ (y ◇ y),x = (y ◇ (x ◇ (z ◇ w))) ◇ x,excluded,test,train,train,test
1532,4506,2395,stronger,False,True,x ◇ (y ◇ z) = (x ◇ x) ◇ x,x = (y ◇ (z ◇ (y ◇ w))) ◇ z,train,train,excluded,train,excluded
1533,4623,2856,incomparable,False,False,(x ◇ x) ◇ y = (z ◇ z) ◇ w,x = ((x ◇ (x ◇ y)) ◇ y) ◇ y,excluded,train,train,excluded,test
1534,260,3475,incomparable,False,False,x = ((x ◇ y) ◇ x) ◇ x,x ◇ x = y ◇ ((x ◇ y) ◇ y),train,test,excluded,train,train
1535,2015,3511,weaker,True,False,x = (y ◇ (z ◇ w)) ◇ (y ◇ y),x ◇ y = x ◇ ((x ◇ y) ◇ x),test,train,excluded,train,excluded
1536,705,2816,weaker,True,False,x = y ◇ (y ◇ ((x ◇ x) ◇ z)),x = ((y ◇ z) ◇ (z ◇ w)) ◇ x,excluded,excluded,train,train,excluded
1537,4397,1171,incomparable,False,False,x ◇ (x ◇ y) = (x ◇ x) ◇ z,x = y ◇ ((z ◇ (y ◇ z)) ◇ x),train,train,train,excluded,excluded
1538,820,256,incomparable,False,False,x = x ◇ ((x ◇ x) ◇ (y ◇ y)),x = ((x ◇ x) ◇ x) ◇ y,excluded,excluded,excluded,train,train
1539,978,2971,stronger,False,True,x = y ◇ ((z ◇ z) ◇ (x ◇ y)),x = ((y ◇ (y ◇ z)) ◇ w) ◇ w,test,excluded,excluded,train,train
1540,4096,2841,stronger,False,True,x ◇ x = ((y ◇ y) ◇ z) ◇ x,x = ((y ◇ z) ◇ (w ◇ u)) ◇ x,test,excluded,test,train,excluded
1541,2413,1678,weaker,True,False,x = (y ◇ (z ◇ (z ◇ w))) ◇ w,x = (x ◇ y) ◇ ((z ◇ w) ◇ z),train,train,test,excluded,train
1542,1400,272,stronger,False,True,x = y ◇ (((z ◇ w) ◇ x) ◇ x),x = ((y ◇ x) ◇ x) ◇ z,train,train,train,test,excluded
1543,3835,1815,stronger,False,True,x ◇ y = (z ◇ z) ◇ (w ◇ u),x = (y ◇ z) ◇ ((w ◇ y) ◇ u),train,train,excluded,test,train
1544,1302,2045,weaker,True,False,x = y ◇ (((x ◇ z) ◇ y) ◇ w),x = ((x ◇ x) ◇ y) ◇ (y ◇ z),train,excluded,train,train,train
1545,318,4545,incomparable,False,False,x ◇ x = y ◇ (z ◇ x),x ◇ (y ◇ z) = (z ◇ y) ◇ y,train,excluded,excluded,excluded,train
1546,1796,3201,weaker,True,False,x = (y ◇ z) ◇ ((z ◇ y) ◇ w),x = (((y ◇ z) ◇ y) ◇ z) ◇ x,excluded,test,test,train,excluded
1547,224,932,stronger,False,True,x = (y ◇ (x ◇ z)) ◇ x,x = y ◇ ((y ◇ z) ◇ (y ◇ z)),excluded,excluded,excluded,train,excluded
1548,3870,850,stronger,False,True,x ◇ x = (x ◇ (y ◇ y)) ◇ x,x = x ◇ ((y ◇ y) ◇ (z ◇ z)),train,excluded,train,excluded,excluded
1549,4638,1943,incomparable,False,False,(x ◇ y) ◇ x = (y ◇ z) ◇ x,x = (y ◇ (y ◇ z)) ◇ (x ◇ z),train,test,excluded,train,excluded
1550,1213,3042,equivalent,True,True,x = y ◇ ((z ◇ (w ◇ w)) ◇ y),x = ((y ◇ (z ◇ w)) ◇ w) ◇ w,excluded,train,excluded,train,excluded
1551,1348,2092,equivalent,True,True,x = y ◇ (((y ◇ z) ◇ w) ◇ u),x = ((y ◇ x) ◇ x) ◇ (y ◇ z),train,excluded,train,train,excluded
1552,1728,421,incomparable,False,False,x = (y ◇ y) ◇ ((y ◇ x) ◇ x),x = x ◇ (x ◇ (y ◇ (y ◇ z))),excluded,train,train,train,train
1553,2923,2028,stronger,False,True,x = ((y ◇ (x ◇ z)) ◇ y) ◇ x,x = (y ◇ (z ◇ w)) ◇ (w ◇ u),train,excluded,excluded,excluded,test
1554,4181,3554,equivalent,True,True,x ◇ y = ((y ◇ z) ◇ y) ◇ w,x ◇ y = y ◇ ((x ◇ z) ◇ w),train,train,train,train,train
1555,1611,4476,weaker,True,False,x = (y ◇ z) ◇ (w ◇ (y ◇ w)),x ◇ (y ◇ y) = (x ◇ z) ◇ y,train,train,excluded,train,train
1556,4678,163,incomparable,False,False,(x ◇ y) ◇ z = (y ◇ x) ◇ w,x = (x ◇ y) ◇ (z ◇ y),excluded,test,train,train,train
1557,3196,4102,weaker,True,False,x = (((y ◇ z) ◇ y) ◇ x) ◇ w,x ◇ x = ((y ◇ z) ◇ x) ◇ z,train,excluded,train,train,train
1558,3844,2868,incomparable,False,False,x ◇ y = (z ◇ w) ◇ (y ◇ w),x = ((x ◇ (y ◇ x)) ◇ z) ◇ x,train,excluded,excluded,train,train
1559,664,2019,incomparable,False,False,x = x ◇ (y ◇ ((z ◇ w) ◇ w)),x = (y ◇ (z ◇ w)) ◇ (z ◇ x),train,train,test,test,test
1560,1516,197,stronger,False,True,x = (y ◇ y) ◇ (x ◇ (x ◇ y)),x = (y ◇ z) ◇ (z ◇ w),excluded,excluded,test,test,excluded
1561,2631,197,equivalent,True,True,x = (y ◇ ((z ◇ w) ◇ z)) ◇ w,x = (y ◇ z) ◇ (z ◇ w),excluded,excluded,excluded,test,test
1562,415,3096,incomparable,False,False,x = x ◇ (x ◇ (x ◇ (y ◇ z))),x = (((x ◇ y) ◇ z) ◇ z) ◇ w,excluded,train,train,train,train
1563,2615,77,equivalent,True,True,x = (y ◇ ((z ◇ z) ◇ w)) ◇ z,x = y ◇ (y ◇ (y ◇ z)),train,excluded,excluded,excluded,excluded
1564,3486,309,incomparable,False,False,x ◇ x = y ◇ ((y ◇ y) ◇ z),x ◇ x = x ◇ (y ◇ x),train,excluded,train,train,train
1565,3011,4604,incomparable,False,False,x = ((y ◇ (z ◇ z)) ◇ y) ◇ x,(x ◇ x) ◇ y = (x ◇ z) ◇ w,test,train,excluded,test,test
1566,183,1495,equivalent,True,True,x = (y ◇ y) ◇ (z ◇ y),x = (y ◇ x) ◇ (y ◇ (z ◇ y)),train,train,test,train,excluded
1567,3013,4484,weaker,True,False,x = ((y ◇ (z ◇ z)) ◇ y) ◇ z,x ◇ (y ◇ y) = (y ◇ y) ◇ z,excluded,excluded,train,train,test
1568,4588,3706,incomparable,False,False,(x ◇ x) ◇ x = (y ◇ x) ◇ y,x ◇ x = (y ◇ z) ◇ (w ◇ x),train,excluded,train,excluded,train
1569,2016,1614,equivalent,True,True,x = (y ◇ (z ◇ w)) ◇ (y ◇ z),x = (y ◇ z) ◇ (w ◇ (z ◇ y)),excluded,excluded,excluded,train,excluded
1570,4499,3554,stronger,False,True,x ◇ (y ◇ y) = (z ◇ z) ◇ z,x ◇ y = y ◇ ((x ◇ z) ◇ w),train,train,train,train,excluded
1571,2787,3865,incomparable,False,False,x = ((y ◇ z) ◇ (y ◇ x)) ◇ x,x ◇ x = (x ◇ (x ◇ y)) ◇ y,excluded,train,train,train,train
1572,2847,4638,incomparable,False,False,x = ((x ◇ (x ◇ x)) ◇ x) ◇ x,(x ◇ y) ◇ x = (y ◇ z) ◇ x,train,test,test,train,excluded
1573,948,2744,weaker,True,False,x = y ◇ ((z ◇ x) ◇ (y ◇ y)),x = ((y ◇ y) ◇ (y ◇ x)) ◇ y,excluded,train,train,train,excluded
1574,3188,1316,incomparable,False,False,x = (((y ◇ z) ◇ x) ◇ w) ◇ x,x = y ◇ (((y ◇ x) ◇ y) ◇ y),train,train,excluded,excluded,train
1575,3415,4089,weaker,True,False,x ◇ y = z ◇ (z ◇ (x ◇ z)),x ◇ x = ((y ◇ x) ◇ z) ◇ w,excluded,train,train,test,train
1576,1610,2609,weaker,True,False,x = (y ◇ z) ◇ (w ◇ (y ◇ z)),x = (y ◇ ((z ◇ z) ◇ z)) ◇ x,train,train,excluded,train,train
1577,145,3930,weaker,True,False,x = y ◇ ((z ◇ z) ◇ w),x ◇ y = (x ◇ (y ◇ z)) ◇ x,test,train,test,train,excluded
1578,795,1454,weaker,True,False,x = y ◇ (z ◇ ((w ◇ x) ◇ u)),x = (x ◇ y) ◇ (y ◇ (y ◇ x)),excluded,excluded,excluded,train,train
1579,1272,4241,incomparable,False,False,x = x ◇ (((y ◇ z) ◇ w) ◇ z),x ◇ y = ((z ◇ z) ◇ w) ◇ u,excluded,excluded,excluded,train,excluded
1580,820,2479,incomparable,False,False,x = x ◇ ((x ◇ x) ◇ (y ◇ y)),x = (x ◇ ((y ◇ z) ◇ x)) ◇ w,excluded,train,excluded,excluded,train
1581,3201,3703,incomparable,False,False,x = (((y ◇ z) ◇ y) ◇ z) ◇ x,x ◇ x = (y ◇ z) ◇ (z ◇ y),excluded,excluded,excluded,train,train
1582,4614,575,incomparable,False,False,(x ◇ x) ◇ y = (z ◇ x) ◇ x,x = y ◇ (z ◇ (z ◇ (y ◇ x))),test,excluded,excluded,train,excluded
1583,4067,867,stronger,False,True,x ◇ x = ((x ◇ x) ◇ y) ◇ x,x = x ◇ ((y ◇ z) ◇ (w ◇ w)),train,train,train,excluded,excluded
1584,390,498,stronger,False,True,x ◇ y = (y ◇ z) ◇ x,x = y ◇ (x ◇ (z ◇ (w ◇ w))),train,train,excluded,train,excluded
1585,1861,2337,incomparable,False,False,x = (x ◇ (y ◇ y)) ◇ (y ◇ y),x = (y ◇ (y ◇ (y ◇ x))) ◇ x,train,excluded,excluded,train,train
1586,602,2846,equivalent,True,True,x = y ◇ (z ◇ (w ◇ (z ◇ u))),x = ((y ◇ z) ◇ (w ◇ u)) ◇ v,excluded,excluded,excluded,train,train
1587,434,3349,incomparable,False,False,x = x ◇ (y ◇ (x ◇ (z ◇ z))),x ◇ y = y ◇ (x ◇ (z ◇ y)),excluded,excluded,train,train,train
1588,327,4604,incomparable,False,False,x ◇ y = x ◇ (y ◇ z),(x ◇ x) ◇ y = (x ◇ z) ◇ w,excluded,excluded,train,test,test
1589,3684,2597,stronger,False,True,x ◇ x = (y ◇ y) ◇ (x ◇ x),x = (y ◇ ((z ◇ y) ◇ w)) ◇ y,train,excluded,train,excluded,train
1590,665,4150,weaker,True,False,x = x ◇ (y ◇ ((z ◇ w) ◇ u)),x ◇ y = ((x ◇ z) ◇ w) ◇ y,excluded,test,train,train,train
1591,3484,1630,incomparable,False,False,x ◇ x = y ◇ ((y ◇ y) ◇ x),x = (x ◇ x) ◇ ((x ◇ x) ◇ y),train,test,test,train,train
1592,3931,709,stronger,False,True,x ◇ y = (x ◇ (y ◇ z)) ◇ y,x = y ◇ (y ◇ ((x ◇ z) ◇ x)),train,train,train,excluded,train
1593,1384,1258,incomparable,False,False,x = y ◇ (((z ◇ z) ◇ x) ◇ y),x = x ◇ (((y ◇ z) ◇ x) ◇ x),excluded,train,train,train,excluded
1594,2933,197,equivalent,True,True,x = ((y ◇ (x ◇ z)) ◇ w) ◇ z,x = (y ◇ z) ◇ (z ◇ w),excluded,excluded,excluded,test,excluded
1595,2419,3851,weaker,True,False,x = (y ◇ (z ◇ (w ◇ x))) ◇ u,x ◇ y = (z ◇ w) ◇ (w ◇ x),excluded,excluded,test,excluded,excluded
1596,840,2787,incomparable,False,False,x = x ◇ ((y ◇ x) ◇ (z ◇ z)),x = ((y ◇ z) ◇ (y ◇ x)) ◇ x,excluded,train,excluded,excluded,train
1597,2308,1223,weaker,True,False,x = (y ◇ (x ◇ (y ◇ z))) ◇ z,x = x ◇ (((x ◇ x) ◇ x) ◇ x),train,excluded,excluded,test,test
1598,2917,3890,incomparable,False,False,x = ((y ◇ (x ◇ y)) ◇ z) ◇ z,x ◇ x = (y ◇ (y ◇ y)) ◇ x,excluded,excluded,train,train,excluded
1599,4378,1320,incomparable,False,False,x ◇ (y ◇ z) = w ◇ (u ◇ z),x = y ◇ (((y ◇ x) ◇ z) ◇ z),test,train,train,excluded,excluded
1600,3927,3342,incomparable,False,False,x ◇ y = (x ◇ (y ◇ y)) ◇ x,x ◇ y = y ◇ (x ◇ (x ◇ x)),excluded,train,train,excluded,test
1601,2560,1943,weaker,True,False,x = (y ◇ ((y ◇ z) ◇ z)) ◇ z,x = (y ◇ (y ◇ z)) ◇ (x ◇ z),train,excluded,excluded,train,train
1602,1347,543,weaker,True,False,x = y ◇ (((y ◇ z) ◇ w) ◇ w),x = y ◇ (z ◇ (x ◇ (y ◇ z))),excluded,excluded,train,train,excluded
1603,1748,804,equivalent,True,True,x = (y ◇ y) ◇ ((z ◇ z) ◇ z),x = y ◇ (z ◇ ((w ◇ z) ◇ w)),train,excluded,excluded,train,train
1604,2778,3773,incomparable,False,False,x = ((y ◇ z) ◇ (x ◇ z)) ◇ x,x ◇ y = (y ◇ z) ◇ (y ◇ y),train,train,excluded,test,train
1605,3542,46,stronger,False,True,x ◇ y = x ◇ ((z ◇ w) ◇ z),x ◇ y = z ◇ w,train,excluded,excluded,train,excluded
1606,3106,813,stronger,False,True,x = (((y ◇ x) ◇ x) ◇ y) ◇ y,x = y ◇ (z ◇ ((w ◇ u) ◇ z)),test,train,test,excluded,train
1607,2661,2954,stronger,False,True,x = ((x ◇ y) ◇ (x ◇ x)) ◇ z,x = ((y ◇ (y ◇ y)) ◇ z) ◇ z,train,excluded,train,excluded,excluded
1608,64,3552,weaker,True,False,x = y ◇ (x ◇ (x ◇ z)),x ◇ y = y ◇ ((x ◇ z) ◇ y),excluded,train,test,train,excluded
1609,3325,197,stronger,False,True,x ◇ y = x ◇ (z ◇ (x ◇ x)),x = (y ◇ z) ◇ (z ◇ w),train,test,test,excluded,excluded
1610,2232,1318,equivalent,True,True,x = ((y ◇ z) ◇ w) ◇ (u ◇ x),x = y ◇ (((y ◇ x) ◇ z) ◇ x),test,excluded,excluded,excluded,train
1611,3230,1804,equivalent,True,True,x = (((y ◇ z) ◇ w) ◇ x) ◇ w,x = (y ◇ z) ◇ ((z ◇ w) ◇ w),excluded,excluded,train,train,train
1612,259,885,incomparable,False,False,x = ((x ◇ x) ◇ y) ◇ z,x = y ◇ ((x ◇ y) ◇ (z ◇ x)),test,train,train,excluded,train
1613,1430,1224,incomparable,False,False,x = (x ◇ x) ◇ (x ◇ (y ◇ z)),x = x ◇ (((x ◇ x) ◇ x) ◇ y),excluded,excluded,excluded,train,excluded
1614,2172,1687,weaker,True,False,x = ((y ◇ z) ◇ x) ◇ (z ◇ w),x = (y ◇ x) ◇ ((x ◇ z) ◇ x),excluded,excluded,excluded,train,excluded
1615,1299,351,incomparable,False,False,x = y ◇ (((x ◇ z) ◇ y) ◇ x),x ◇ y = z ◇ (z ◇ y),excluded,train,train,train,test
1616,871,571,weaker,True,False,x = y ◇ ((x ◇ x) ◇ (x ◇ z)),x = y ◇ (z ◇ (z ◇ (x ◇ x))),test,excluded,excluded,test,excluded
1617,1979,1868,incomparable,False,False,x = (y ◇ (z ◇ y)) ◇ (y ◇ x),x = (x ◇ (y ◇ z)) ◇ (x ◇ y),excluded,excluded,excluded,train,train
1618,2296,3099,incomparable,False,False,x = (y ◇ (x ◇ (x ◇ z))) ◇ x,x = (((x ◇ y) ◇ z) ◇ w) ◇ z,train,excluded,train,excluded,train
1619,4638,4425,incomparable,False,False,(x ◇ y) ◇ x = (y ◇ z) ◇ x,x ◇ (x ◇ y) = (z ◇ z) ◇ z,excluded,excluded,test,train,excluded
1620,2019,3328,incomparable,False,False,x = (y ◇ (z ◇ w)) ◇ (z ◇ x),x ◇ y = x ◇ (z ◇ (x ◇ w)),excluded,excluded,excluded,excluded,excluded
1621,3931,3394,stronger,False,True,x ◇ y = (x ◇ (y ◇ z)) ◇ y,x ◇ y = z ◇ (x ◇ (w ◇ w)),excluded,excluded,train,excluded,train
1622,3212,2778,weaker,True,False,x = (((y ◇ z) ◇ z) ◇ x) ◇ z,x = ((y ◇ z) ◇ (x ◇ z)) ◇ x,train,train,train,excluded,train
1623,173,1492,weaker,True,False,x = (y ◇ x) ◇ (z ◇ y),x = (y ◇ x) ◇ (y ◇ (y ◇ y)),excluded,train,train,train,excluded
1624,3196,820,weaker,True,False,x = (((y ◇ z) ◇ y) ◇ x) ◇ w,x = x ◇ ((x ◇ x) ◇ (y ◇ y)),train,train,excluded,train,train
1625,1231,4427,incomparable,False,False,x = x ◇ (((x ◇ y) ◇ y) ◇ x),x ◇ (x ◇ y) = (z ◇ w) ◇ x,train,train,test,test,train
1626,3867,2706,incomparable,False,False,x ◇ x = (x ◇ (y ◇ x)) ◇ x,x = ((y ◇ x) ◇ (y ◇ x)) ◇ x,excluded,excluded,train,train,train
1627,788,1108,equivalent,True,True,x = y ◇ (z ◇ ((z ◇ w) ◇ z)),x = y ◇ ((x ◇ (z ◇ w)) ◇ u),train,excluded,excluded,train,excluded
1628,3274,3667,incomparable,False,False,x ◇ x = y ◇ (x ◇ (z ◇ x)),x ◇ x = (x ◇ y) ◇ (y ◇ x),excluded,train,test,train,train
1629,219,4249,incomparable,False,False,x = (y ◇ (x ◇ x)) ◇ y,x ◇ y = ((z ◇ w) ◇ y) ◇ z,excluded,train,train,train,train
1630,3886,3521,incomparable,False,False,x ◇ x = (y ◇ (x ◇ z)) ◇ w,x ◇ y = x ◇ ((y ◇ y) ◇ x),excluded,train,train,excluded,train
1631,4181,4179,weaker,True,False,x ◇ y = ((y ◇ z) ◇ y) ◇ w,x ◇ y = ((y ◇ z) ◇ y) ◇ y,excluded,excluded,excluded,train,train
1632,5,3986,incomparable,False,False,x = y ◇ x,x ◇ y = (y ◇ (z ◇ w)) ◇ w,excluded,excluded,train,train,train
1633,67,664,weaker,True,False,x = y ◇ (x ◇ (y ◇ z)),x = x ◇ (y ◇ ((z ◇ w) ◇ w)),train,excluded,excluded,test,excluded
1634,4200,1271,incomparable,False,False,x ◇ y = ((z ◇ x) ◇ z) ◇ y,x = x ◇ (((y ◇ z) ◇ w) ◇ y),train,train,test,test,train
1635,4303,2290,incomparable,False,False,x ◇ (x ◇ y) = z ◇ (y ◇ x),x = (y ◇ (x ◇ (x ◇ x))) ◇ x,train,excluded,train,excluded,train
