node,split_42,split_7,split_123,split_99,split_256
4292,train,train,train,train,train
4296,train,train,train,train,train
4303,train,test,train,test,train
4313,train,train,train,test,test
4320,test,train,train,train,train
4324,train,train,train,train,train
4328,train,train,train,train,test
4332,test,train,test,test,train
4340,test,train,test,train,train
4351,test,test,train,train,test
4352,train,test,train,train,train
4355,train,train,train,test,train
4361,train,test,test,train,train
4363,train,train,test,train,train
4373,train,train,train,train,train
4378,test,train,train,train,test
4389,train,train,train,train,train
4390,train,test,train,train,train
4397,train,train,train,train,train
4403,test,train,train,train,train
4414,train,test,train,train,train
4415,train,train,test,test,train
4425,test,train,test,train,train
4426,test,test,test,train,train
4427,train,train,test,test,train
4429,train,test,train,train,train
4430,test,train,test,train,test
4431,test,test,train,train,train
4432,train,train,train,test,train
4443,train,train,train,test,test
4444,train,train,test,train,train
4445,train,test,test,train,test
4452,train,train,test,train,train
4456,train,train,train,train,train
4470,train,train,test,train,train
4473,train,test,train,train,test
4474,train,test,train,train,test
4476,train,train,test,train,train
4479,test,train,train,train,test
4484,train,test,train,train,test
4485,train,test,train,train,train
4489,train,train,train,train,test
4490,test,test,test,train,train
4491,test,train,test,train,test
4493,train,train,train,test,test
4496,train,test,train,train,test
4498,train,train,train,test,train
4499,train,train,train,train,test
4504,test,train,test,test,train
4505,train,train,train,train,train
4506,train,train,test,train,test
4509,train,train,train,train,train
4513,train,test,test,train,test
4522,train,train,train,train,train
4525,test,train,train,train,test
4526,train,train,test,test,test
4531,train,train,train,train,train
4532,test,train,train,train,train
4541,train,train,test,train,train
4542,train,train,train,train,train
4545,train,test,train,train,train
4548,train,train,test,train,train
4550,train,train,train,test,train
4554,train,train,train,test,train
4558,test,train,test,train,train
4569,train,train,train,train,train
4574,train,train,train,train,test
4581,train,test,train,train,train
4585,train,train,train,train,test
4588,train,test,train,train,train
4590,test,test,train,train,train
4594,test,train,train,train,train
4597,train,train,train,test,test
4598,test,test,train,train,test
4601,train,train,train,train,train
4603,test,train,train,test,train
4604,test,train,train,test,test
4606,train,train,train,train,test
4608,train,train,test,test,train
4614,test,train,train,train,test
4615,train,test,test,train,train
4616,train,test,train,train,train
4619,train,train,train,train,train
4622,train,train,train,train,train
4623,test,train,train,train,test
4625,test,test,test,train,train
4630,train,train,train,train,train
4634,train,train,train,test,train
4635,train,train,train,train,test
4638,train,test,test,train,test
4639,train,train,train,train,train
4642,train,test,train,test,train
4644,train,train,train,train,train
4648,test,train,test,train,train
4649,train,test,train,test,train
4654,train,train,train,train,train
4660,train,train,train,train,train
4661,test,train,train,train,train
4669,test,train,train,train,test
4677,test,train,train,train,test
4678,test,test,train,train,train
4680,train,train,train,train,train
4681,train,train,test,test,train
4682,train,train,train,test,test
4683,train,train,train,train,test
4684,train,test,test,test,train
4693,train,test,train,test,train
